freq, dickens, unknown4, unknown5, delta-unknown4, delta-unknown5
1,08.1898294,09.376974,09.391441,01.1871442198753357,01.2016117572784424
2,02.7547827,02.1347687,02.5601724,00.6200140342116356,00.19461028277873993
3,11.376968,13.776492,11.042987,00.57502686977386475,01.5871457755565643
4,09.921892,09.346865,11.509038,02.3995235562324524,00.3339812159538269
