freq, unknown4, unknown5
1,0.011871442198753357,0.012016117572784424
2,0.006200140342116356,0.0019461028277873993
3,0.049828268587589264,0.049828268587589264
4,0.023995235562324524,0.003339812159538269
5,0.0057502686977386475,0.015871457755565643
