freq,dickens,unknown4,unknown5
1,08.1898294,09.376974,09.391441
2,02.7547827,02.1347687,02.5601724
3,04.982827,0.0,0.0
4,11.376968,13.776492,11.042987
5,09.921892,09.346865,11.509038
